TRINITY_DN72891_c0_g1_i1	TRINITY_DN11383_c0_g1_i1	85.455	55	8	0	2	56	755	701	1.88e-09	64.4
TRINITY_DN72974_c0_g1_i1	TRINITY_DN3374_c0_g1_i6	97.222	36	1	0	1	36	36	71	2.46e-08	61.7
TRINITY_DN72960_c0_g1_i1	TRINITY_DN4459_c0_g1_i4	77.612	67	15	0	10	76	3683	3749	6.09e-06	54.5
TRINITY_DN72960_c0_g1_i2	TRINITY_DN4459_c0_g1_i4	77.612	67	15	0	107	173	3683	3749	7.10e-06	54.5
TRINITY_DN72954_c0_g1_i1	TRINITY_DN10507_c0_g2_i1	94.595	37	1	1	1	37	35	70	6.74e-07	55.4
TRINITY_DN72884_c0_g1_i1	TRINITY_DN8797_c0_g1_i2	78.899	109	18	3	255	361	213	318	2.07e-15	85.1
TRINITY_DN72971_c0_g1_i1	TRINITY_DN39360_c0_g1_i1	78.846	104	12	3	27	130	93	186	2.43e-15	85.1
TRINITY_DN72946_c0_g1_i1	TRINITY_DN1535_c1_g3_i1	84.848	66	10	0	195	260	38	103	8.47e-13	75.2
TRINITY_DN72910_c0_g1_i1	TRINITY_DN24957_c0_g1_i1	83.077	65	4	1	1	58	336	272	3.07e-11	70.7
TRINITY_DN72934_c0_g1_i1	TRINITY_DN7715_c2_g1_i4	72.360	322	87	2	18	338	663	343	7.18e-42	173
TRINITY_DN72907_c0_g1_i1	TRINITY_DN4211_c8_g1_i1	69.079	152	30	5	29	170	649	793	1.14e-06	56.3
TRINITY_DN72897_c0_g1_i1	TRINITY_DN4813_c0_g3_i1	73.305	236	60	1	5	237	1357	1122	1.97e-32	141
TRINITY_DN72949_c0_g1_i1	TRINITY_DN3_c5_g2_i1	82.609	69	12	0	24	92	1805	1737	1.43e-11	71.6
TRINITY_DN72947_c0_g1_i1	TRINITY_DN2430_c0_g1_i1	97.561	41	1	0	16	56	22	62	7.37e-11	70.7
TRINITY_DN72903_c0_g1_i1	TRINITY_DN1682_c0_g1_i4	88.095	42	5	0	97	138	1660	1619	2.68e-06	54.5
TRINITY_DN72912_c0_g1_i1	TRINITY_DN3818_c0_g2_i8	93.617	47	3	0	374	420	115	69	1.57e-11	72.5
TRINITY_DN72901_c0_g1_i1	TRINITY_DN7349_c0_g4_i1	81.690	71	13	0	5	75	340	270	4.52e-11	70.7
TRINITY_DN72969_c0_g1_i1	TRINITY_DN4671_c5_g1_i1	87.500	64	8	0	2	65	121	184	3.18e-14	80.6
TRINITY_DN72959_c0_g1_i1	TRINITY_DN15587_c0_g1_i5	75.000	292	73	0	2	293	3025	2734	1.05e-49	198
TRINITY_DN72962_c0_g1_i1	TRINITY_DN9686_c0_g1_i2	88.312	77	9	0	2	78	427	351	2.51e-19	99.6
TRINITY_DN3320_c0_g2_i1	TRINITY_DN487_c1_g1_i2	83.969	131	19	2	1	130	163	34	1.28e-30	135
TRINITY_DN3320_c0_g1_i4	TRINITY_DN3625_c0_g3_i1	97.778	45	1	0	4502	4546	72	28	4.16e-12	77.9
TRINITY_DN3320_c0_g1_i6	TRINITY_DN3625_c0_g3_i1	97.778	45	1	0	4502	4546	72	28	4.16e-12	77.9
TRINITY_DN3320_c0_g1_i7	TRINITY_DN9513_c0_g1_i7	90.123	81	8	0	1	81	2290	2210	1.98e-23	111
TRINITY_DN3350_c0_g1_i1	TRINITY_DN87_c0_g2_i2	75.000	764	189	2	401	1163	1271	2033	6.66e-143	510
TRINITY_DN3350_c0_g1_i4	TRINITY_DN87_c0_g2_i2	74.066	482	123	2	401	881	1271	1751	1.44e-79	299
TRINITY_DN3350_c0_g1_i5	TRINITY_DN87_c0_g2_i2	75.904	332	80	0	224	555	1702	2033	1.02e-61	239
TRINITY_DN3333_c0_g1_i2	TRINITY_DN10281_c0_g5_i2	86.301	73	6	2	6	76	646	576	1.93e-14	82.4
TRINITY_DN3315_c0_g1_i11	TRINITY_DN4998_c0_g1_i4	81.108	1498	243	18	732	2210	1681	205	0.0	1381
TRINITY_DN3315_c0_g1_i2	TRINITY_DN4998_c0_g1_i4	80.000	900	152	12	732	1614	1681	793	0.0	783
TRINITY_DN3315_c0_g1_i4	TRINITY_DN6738_c0_g1_i3	86.905	84	10	1	1	83	10	93	5.71e-20	99.6
TRINITY_DN3315_c0_g1_i5	TRINITY_DN4998_c0_g1_i4	81.108	1498	243	18	499	1977	1681	205	0.0	1381
TRINITY_DN3315_c0_g1_i6	TRINITY_DN4998_c0_g1_i4	80.000	900	152	12	499	1381	1681	793	0.0	783
